# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-T" "8" "-t" "CDS" "-g" "gene_name" "-a" "ref/MW2_annotation/MW2_assembly.gtf" "-o" "MW2_transcripts.txt" "mapping/M-A_S488_L006_vs_MW2.sorted.bam" "mapping/M-B_S489_L006_vs_MW2.sorted.bam" "mapping/M-C_S490_L006_vs_MW2.sorted.bam" "mapping/MplusA_S494_L006_vs_MW2.sorted.bam" "mapping/MplusB_S495_L006_vs_MW2.sorted.bam" "mapping/MplusC_S496_L006_vs_MW2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapping/M-A_S488_L006_vs_MW2.sorted.bam	mapping/M-B_S489_L006_vs_MW2.sorted.bam	mapping/M-C_S490_L006_vs_MW2.sorted.bam	mapping/MplusA_S494_L006_vs_MW2.sorted.bam	mapping/MplusB_S495_L006_vs_MW2.sorted.bam	mapping/MplusC_S496_L006_vs_MW2.sorted.bam
rdgB	MRSA_MW2_contig_1	597223	597810	+	588	3836	2724	3705	2284	3866	3478
yfcE	MRSA_MW2_contig_1	597803	598306	+	504	3897	3009	4080	2894	4596	4532
DBIAII_00585	MRSA_MW2_contig_1	598795	599112	+	318	13975	14734	18067	2006	63142	83005
flr	MRSA_MW2_contig_1	599482	599880	-	399	1417	1332	1443	1503	4262	4819
DBIAII_00587	MRSA_MW2_contig_1	600551	601057	+	507	1907	1905	1988	3105	6875	7720
efb	MRSA_MW2_contig_1	601316	601813	+	498	2737	2361	2752	420	8133	10452
scb	MRSA_MW2_contig_1	601967	602317	+	351	1750	1356	1607	227	5335	6517
DBIAII_00591	MRSA_MW2_contig_1	603082	603267	-	186	2133	1909	2275	1109	2576	2010
DBIAII_00592	MRSA_MW2_contig_1	603886	604119	-	234	4298	3795	5043	2382	5608	4073
hly	MRSA_MW2_contig_1	604596	605555	-	960	1193	913	1111	572	2611	5397
DBIAII_00594	MRSA_MW2_contig_1	606228	606374	+	147	32	41	57	164	371	228
DBIAII_00595	MRSA_MW2_contig_1	606358	606555	+	198	99	103	151	347	664	636
DBIAII_00597	MRSA_MW2_contig_1	607112	607828	-	717	234	195	243	173	231	331
ssl13	MRSA_MW2_contig_1	607936	608661	-	726	151	89	123	95	165	145
DBIAII_00599	MRSA_MW2_contig_1	608756	609481	-	726	122	113	132	90	253	165
argF	MRSA_MW2_contig_1;MRSA_MW2_contig_1	609919;2191092	610920;2192102	+;-	2013	3928	2945	3728	530	920	790
arcC	MRSA_MW2_contig_1;MRSA_MW2_contig_1	610940;2188613	611875;2189554	+;-	1878	8126	6945	9227	2816	3477	4726
yfcC	MRSA_MW2_contig_1	612047	613603	+	1557	1669	1260	1564	732	1117	1082
DBIAII_00603	MRSA_MW2_contig_1	613910	614137	+	228	925	842	1063	2771	5055	5072
tehA	MRSA_MW2_contig_1	614443	615390	-	948	11821	10015	11914	3472	11457	9947
DBIAII_00605	MRSA_MW2_contig_1	615639	615827	+	189	207	192	197	493	453	865
DBIAII_00607	MRSA_MW2_contig_1	616739	616873	+	135	23774	10895	13346	1070	103	57
DBIAII_00608	MRSA_MW2_contig_1	616930	617064	+	135	965	499	629	60	19	20
DBIAII_00610	MRSA_MW2_contig_1	617992	618432	-	441	3504	3115	4162	1504	3054	2173
bshC	MRSA_MW2_contig_1	618627	620240	+	1614	9106	7470	10029	5833	7878	9562
mraZ	MRSA_MW2_contig_1	620384	620815	+	432	28107	24635	32235	14845	35990	27305
rsmH	MRSA_MW2_contig_1	620831	621766	+	936	54881	46958	58599	26688	63184	47243
ftsL	MRSA_MW2_contig_1	621780	622181	+	402	10553	9033	11456	5862	12786	10895
pASTA	MRSA_MW2_contig_1	622162	624396	+	2235	41837	34244	43960	26181	38392	39134
mraY	MRSA_MW2_contig_1	624688	625653	+	966	10104	7668	9876	7281	8876	9416
murD	MRSA_MW2_contig_1	625655	627004	+	1350	14773	10456	14510	9708	11671	13048
divIB	MRSA_MW2_contig_1	627020	628339	+	1320	24579	18098	23410	14637	18884	21502
ftsA	MRSA_MW2_contig_1	628445	629857	+	1413	87303	67692	87070	51294	74625	84063
ftsZ	MRSA_MW2_contig_1	629890	631062	+	1173	100216	82373	105245	71632	105138	102137
pgeF	MRSA_MW2_contig_1	631322	632113	+	792	2739	2099	2642	2329	3089	3134
yggS	MRSA_MW2_contig_1	632137	632805	+	669	28923	22516	29231	7817	11025	12484
sepF	MRSA_MW2_contig_1	632802	633365	+	564	37362	30537	38218	9483	14380	16491
yggT	MRSA_MW2_contig_1	633377	633667	+	291	11616	9718	11959	3822	5246	5416
ylmH	MRSA_MW2_contig_1	633750	634556	+	807	13295	10477	13605	6305	11207	11877
divIVA	MRSA_MW2_contig_1	634580	635197	+	618	22896	18767	23747	11440	19293	20069
ileS	MRSA_MW2_contig_1	635418	638171	+	2754	50321	37603	48001	26521	41870	39333
catE	MRSA_MW2_contig_1;MRSA_MW2_contig_1	638461;2068592	639258;2069398	+;+	1605	4894	3664	4855	3069	5077	4556
lspA	MRSA_MW2_contig_1	640111	640602	+	492	7016	5968	7004	3841	4410	7728
pyrR	MRSA_MW2_contig_1	641919	642446	+	528	17264	17401	22393	8835	6669	15859
uraA	MRSA_MW2_contig_1	642664	643971	+	1308	11347	12780	17127	2130	2096	2118
pyrB	MRSA_MW2_contig_1	643999	644880	+	882	8455	8053	11984	1663	1931	1778
pyrC	MRSA_MW2_contig_1	644895	646172	+	1278	12660	12404	17367	3596	3691	3658
carA	MRSA_MW2_contig_1	646174	647274	+	1101	7815	6779	9361	3093	3499	3092
carB	MRSA_MW2_contig_1	647267	650440	+	3174	22578	14307	16670	14370	18763	15968
pyrF	MRSA_MW2_contig_1	650550	651242	+	693	6083	3143	3217	3615	5607	5061
pyrE	MRSA_MW2_contig_1	651242	651853	+	612	3548	1847	2020	2537	4171	3795
DBIAII_00639	MRSA_MW2_contig_1	651883	652095	+	213	4530	3078	3526	2355	5134	4684
DBIAII_00640	MRSA_MW2_contig_1	652532	652933	+	402	4664	3662	4756	3195	6553	5155
rqcH	MRSA_MW2_contig_1	653196	654893	-	1698	12301	10492	13062	6316	9289	12238
gmk	MRSA_MW2_contig_1	655168	655791	+	624	30063	25822	32122	14027	27624	25833
rpoZ	MRSA_MW2_contig_1	655791	656009	+	219	2714	2295	3134	1756	2897	2454
coaBC	MRSA_MW2_contig_1	656225	657424	+	1200	4993	3984	5216	3285	6582	4719
priA	MRSA_MW2_contig_1	657424	659832	+	2409	14086	11097	14607	8792	14682	13572
DBIAII_00646	MRSA_MW2_contig_1	660335	661288	+	954	1715	1509	1981	883	1508	1313
fmt	MRSA_MW2_contig_1	662434	663369	+	936	7473	6337	7933	4276	3756	6885
rsmB	MRSA_MW2_contig_1	663366	664673	+	1308	17200	14023	18206	7570	8024	13882
rlmN	MRSA_MW2_contig_1	664676	665770	+	1095	15197	12588	15494	7143	7942	11887
pTC1	MRSA_MW2_contig_1	665777	666520	+	744	10291	7968	9714	4809	5608	8459
pknB	MRSA_MW2_contig_1	666517	668511	+	1995	25034	20343	24022	15899	19200	24857
rsgA	MRSA_MW2_contig_1	668739	669614	+	876	7484	6134	8128	3682	7357	6085
rpe	MRSA_MW2_contig_1	669615	670259	+	645	5738	4782	6035	2763	5693	4911
thiN	MRSA_MW2_contig_1	670266	670907	+	642	5624	4542	5908	3058	5977	5255
rpmB	MRSA_MW2_contig_1	671288	671476	-	189	111551	119977	123916	107564	174422	135625
yloU	MRSA_MW2_contig_1;MRSA_MW2_contig_1	671919;1075712	672293;1076074	+;-	738	15887	13140	16768	9775	13955	15960
fakA	MRSA_MW2_contig_1	672308	673954	+	1647	37001	33112	44644	29199	31967	47847
recG	MRSA_MW2_contig_1	674144	676204	+	2061	7393	5905	7207	3793	8388	6140
fapR	MRSA_MW2_contig_1	676422	676979	+	558	22299	17646	23103	14420	21601	23229
plsX	MRSA_MW2_contig_1	676984	677970	+	987	31717	25953	34122	20590	29180	32723
fabD	MRSA_MW2_contig_1	677963	678889	+	927	31711	25293	31819	21268	30677	31996
fabG	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	678882;740839;2128679;1859302;2015313	679616;741543;2129383;1860183;2016131	+;+;+;-;-	3846	46083	36621	47403	28286	40657	40418
acpP	MRSA_MW2_contig_1	680050	680283	+	234	42471	42338	49397	40389	63090	51114
rnc	MRSA_MW2_contig_1	680399	681130	+	732	4808	3806	4886	2705	4910	4210
smc	MRSA_MW2_contig_1	681277	684843	+	3567	25798	20176	25386	15205	21980	22543
ftsY	MRSA_MW2_contig_1	684843	686093	+	1251	7801	6136	7551	6483	7395	8236
ylxM	MRSA_MW2_contig_1	686080	686412	+	333	2261	1685	2226	1506	1848	2484
ffh	MRSA_MW2_contig_1	686438	687805	+	1368	24978	20783	26054	18645	21760	28079
rpsP	MRSA_MW2_contig_1	688240	688515	+	276	29429	26967	29185	38461	39506	54325
rimM	MRSA_MW2_contig_1	688703	689206	+	504	3613	2947	3422	4041	2900	6298
trmD	MRSA_MW2_contig_1	689206	689943	+	738	9881	7635	8415	8986	6785	15730
rplS	MRSA_MW2_contig_1	690046	690396	+	351	166993	145251	160496	123647	161787	221550
yfhO	MRSA_MW2_contig_1	690979	693585	-	2607	5841	4818	6197	3920	7894	6859
ylqF	MRSA_MW2_contig_1	693986	694870	+	885	3752	3025	4086	1724	2274	2963
rnhB	MRSA_MW2_contig_1	694854	695621	+	768	4815	3673	4757	1876	2317	3146
sucC	MRSA_MW2_contig_1	695730	696896	+	1167	29466	21789	30251	16040	21906	23806
sucD	MRSA_MW2_contig_1	696918	697826	+	909	18634	15120	19792	12342	15469	14982
lytN	MRSA_MW2_contig_1	698053	699171	+	1119	272	213	263	20281	49934	47438
fmhC	MRSA_MW2_contig_1	699199	700443	+	1245	698	595	747	15969	36671	35469
dprA	MRSA_MW2_contig_1	700616	701488	+	873	457	345	429	1850	2106	3326
topA	MRSA_MW2_contig_1	701662	703737	+	2076	34570	26016	34704	17326	16118	22636
trmFO	MRSA_MW2_contig_1	703893	705200	+	1308	24273	17597	23268	12496	14236	16602
xerC	MRSA_MW2_contig_1	705617	706513	+	897	14047	11082	14120	4023	9404	6354
hslV	MRSA_MW2_contig_1	706510	707055	+	546	9073	6842	9396	2855	5948	4190
hslU	MRSA_MW2_contig_1	707121	708524	+	1404	32800	25064	33517	12751	23478	19554
codY	MRSA_MW2_contig_1	708549	709322	+	774	13475	10864	14167	8425	13676	10692
rpsB	MRSA_MW2_contig_1	709664	710431	+	768	270161	236467	277852	140326	151276	304665
tsf	MRSA_MW2_contig_1	710613	711494	+	882	112004	98122	116947	78739	77529	120142
pyrH	MRSA_MW2_contig_1	711631	712353	+	723	29390	24218	29316	20145	19012	28879
frr	MRSA_MW2_contig_1	712372	712926	+	555	44156	36514	41488	26657	31449	42168
uppS	MRSA_MW2_contig_1	713299	714069	+	771	17255	13850	16708	10369	11728	17743
cdsA	MRSA_MW2_contig_1	714076	714858	+	783	15711	12857	15161	10207	11334	16520
rseP	MRSA_MW2_contig_1	715070	716356	+	1287	23225	17867	21607	14895	19691	22393
proS	MRSA_MW2_contig_1	716376	718079	+	1704	36477	27819	33876	26989	36684	39898
polC	MRSA_MW2_contig_1	718337	722653	+	4317	34068	26188	34738	20136	24784	30064
rimP	MRSA_MW2_contig_1	722943	723410	+	468	5197	4056	5416	4546	4507	6345
nusA	MRSA_MW2_contig_1	723431	724606	+	1176	15387	12349	15245	11504	11546	15623
ylxR	MRSA_MW2_contig_1	724627	724911	+	285	1889	1304	1829	1412	1500	1728
ylxQ	MRSA_MW2_contig_1	724908	725225	+	318	1425	1133	1356	1127	1175	1565
infB	MRSA_MW2_contig_1	725230	727347	+	2118	66109	48884	56327	40091	51535	60823
rbfA	MRSA_MW2_contig_1	727733	728083	+	351	9163	7596	9481	8809	12781	15018
truB	MRSA_MW2_contig_1	728253	729170	+	918	6792	4946	6490	4878	6983	8284
ribF	MRSA_MW2_contig_1	729185	730156	+	972	11706	9259	11714	7186	12346	12043
rpsO	MRSA_MW2_contig_1	730271	730540	+	270	55502	55087	63726	60336	67738	89848
pnp	MRSA_MW2_contig_1	730908	733004	+	2097	83119	65075	83484	34717	56737	57439
rnj2	MRSA_MW2_contig_1	733240	734913	+	1674	62380	51189	65581	27327	52521	50934
ftsK	MRSA_MW2_contig_1;MRSA_MW2_contig_1	735170;1292843	737539;1296667	+;-	6195	116526	94515	120261	69362	82379	115462
mngR	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	737544;2412193;2571735	738257;2412933;2572439	+;-;-	2160	13060	11552	13716	9301	15074	15844
pqqL	MRSA_MW2_contig_1;MRSA_MW2_contig_1	738288;739553	739553;740839	+;+	2552	19422	16514	21233	12088	10753	18872
DBIAII_00715	MRSA_MW2_contig_1	741648	742475	+	828	7533	6692	7962	5048	6476	7352
rodZ	MRSA_MW2_contig_1	742494	742886	+	393	6865	5157	6802	3578	5528	6184
pgsA_S177F	MRSA_MW2_contig_1	742920	743498	+	579	7124	6132	7394	5467	9134	7511
cinA	MRSA_MW2_contig_1	743725	744876	+	1152	3938	3330	3975	3481	5231	5356
recA	MRSA_MW2_contig_1	745041	746084	+	1044	26145	20472	26909	15625	27513	24317
rny	MRSA_MW2_contig_1	746438	747997	+	1560	93973	77557	96205	45969	75183	86035
DBIAII_00722	MRSA_MW2_contig_1	748294	748509	-	216	2264	1684	2396	1040	3256	1215
ymdB	MRSA_MW2_contig_1	748683	749480	+	798	12617	11148	13179	5195	8732	9918
porG	MRSA_MW2_contig_1	749620	751380	+	1761	10386	7371	9912	8206	11027	11285
porB	MRSA_MW2_contig_1	751381	752247	+	867	5175	4047	5120	5255	7327	6739
yqgV	MRSA_MW2_contig_1;MRSA_MW2_contig_1	752341;1091771	752634;1092100	+;-	624	6127	5034	6607	2865	5345	5565
miaB	MRSA_MW2_contig_1	752768	754312	+	1545	15491	12812	17162	8839	15299	14382
ymcA	MRSA_MW2_contig_1	754313	754678	+	366	6176	4913	6679	3146	5263	5926
thiW	MRSA_MW2_contig_1	754705	755196	+	492	4616	3965	5062	3038	4726	4266
mutS	MRSA_MW2_contig_1;MRSA_MW2_contig_1	755499;1585537	758117;1587147	+;+	4230	20457	16298	21391	5316	7239	8167
mutL	MRSA_MW2_contig_1	758130	760139	+	2010	17333	13551	18133	5147	6944	7879
glpP	MRSA_MW2_contig_1	760154	760687	+	534	4490	3792	4869	2022	2973	2867
glpF	MRSA_MW2_contig_1	761162	761980	+	819	6288	5389	7247	2553	1542	3165
glpK	MRSA_MW2_contig_1	762109	763605	+	1497	6652	4812	6480	4931	5203	5603
glpD	MRSA_MW2_contig_1	763763	765436	+	1674	52912	34143	46966	21357	22288	48197
pldB	MRSA_MW2_contig_1;MRSA_MW2_contig_1	765583;1324924	766500;1325751	+;-	1746	9034	7372	10043	8366	19611	13435
miaA	MRSA_MW2_contig_1	766518	767453	+	936	3030	2407	3165	3990	12933	9364
hfq	MRSA_MW2_contig_1	767468	767701	+	234	904	779	932	1977	5348	3417
bsaA	MRSA_MW2_contig_1	767923	768399	-	477	6708	5481	7244	6026	14469	9077
hflX	MRSA_MW2_contig_1	768511	769749	+	1239	2467	2358	2953	1964	2210	3121
ynbB	MRSA_MW2_contig_1	769768	771006	+	1239	4028	3340	4453	2684	3159	4134
soxR	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	771250;1924464;2052391	771618;1925204;2053155	+;+;-	1875	35412	31872	41254	18954	36718	30349
glnA	MRSA_MW2_contig_1	771637	772977	+	1341	173132	151590	183420	83774	116853	137346
unitary	MRSA_MW2_contig_1;MRSA_MW2_contig_1	774261;904939	774350;905070	+;-	222	1071	903	996	1755	1392	2353
DBIAII_00745	MRSA_MW2_contig_1	774377	774583	+	207	117	84	128	145	83	218
DBIAII_00746	MRSA_MW2_contig_1	774880	775086	+	207	241	192	244	185	211	298
DBIAII_00747	MRSA_MW2_contig_1	777020	777124	+	105	53	43	72	66	94	92
DBIAII_00748	MRSA_MW2_contig_1	777253	777504	+	252	114	98	104	80	133	138
DBIAII_00749	MRSA_MW2_contig_1	777979	778413	+	435	54	39	36	66	78	100
DBIAII_00750	MRSA_MW2_contig_1	778419	778541	+	123	6	4	10	10	22	10
DBIAII_00751	MRSA_MW2_contig_1	778701	778913	+	213	32	20	41	31	23	30
DBIAII_00752	MRSA_MW2_contig_1	779033	779302	+	270	25	23	19	8	21	27
DBIAII_00753	MRSA_MW2_contig_1	779315	779437	+	123	100	77	89	183	286	224
DBIAII_00754	MRSA_MW2_contig_1	779694	780155	+	462	292	220	338	473	887	759
DBIAII_00755	MRSA_MW2_contig_1	780166	780360	+	195	221	142	201	258	656	495
gLY1	MRSA_MW2_contig_1	780921	781946	-	1026	426	285	361	1863	3131	2688
DBIAII_00757	MRSA_MW2_contig_1	782216	782413	+	198	480	398	385	368	1132	509
cls	MRSA_MW2_contig_1;MRSA_MW2_contig_1	782434;1634153	783951;1635637	+;+	3003	20340	16644	21159	10194	23084	18435
yadH	MRSA_MW2_contig_1	785003	785734	+	732	217	211	188	132	231	216
comP	MRSA_MW2_contig_1;MRSA_MW2_contig_1	785738;1409272	786829;1410384	+;-	2205	4789	4365	5171	3830	4882	6492
citB	MRSA_MW2_contig_1;MRSA_MW2_contig_1	786826;1408627	787428;1409250	+;-	1227	4306	3719	4462	3222	4384	5662
lapA	MRSA_MW2_contig_1	787541	787729	-	189	1564	1382	1644	1088	2908	1635
yncB	MRSA_MW2_contig_1	787868	788401	+	534	1557	1417	1893	1393	1320	2491
DBIAII_00765	MRSA_MW2_contig_1	788544	789398	-	855	9904	8197	10865	6495	22779	12082
DBIAII_00766	MRSA_MW2_contig_1	789720	790304	+	585	2607	2260	3121	1312	2612	2517
metL1	MRSA_MW2_contig_1;MRSA_MW2_contig_1	790358;865823	791740;867028	-;+	2589	10770	8263	9995	356	1317	433
thrA	MRSA_MW2_contig_1	791931	793211	+	1281	2530	1841	2572	471	842	464
thrC	MRSA_MW2_contig_1	793217	794278	+	1062	1381	1136	1501	480	717	565
thrB	MRSA_MW2_contig_1	794280	795194	+	915	1003	845	1263	471	606	479
DBIAII_00772	MRSA_MW2_contig_1	796348	796662	-	315	5595	5114	6630	4902	11547	8882
lysP	MRSA_MW2_contig_1;MRSA_MW2_contig_1	796880;1215459	798334;1216952	-;-	2949	52399	43243	53933	19384	39781	32739
katB	MRSA_MW2_contig_1	798538	800055	+	1518	21947	15912	21798	6631	12209	8562
rpmG	MRSA_MW2_contig_1;MRSA_MW2_contig_1	800146;1095490	800295;1095639	+;-	300	26865	25623	29819	27328	40210	39201
rpsN	MRSA_MW2_contig_1	800749	801018	+	270	3175	2658	3017	1333	4040	3372
DBIAII_00777	MRSA_MW2_contig_1	801175	802152	+	978	2315	2250	2864	3764	4349	4853
lexA	MRSA_MW2_contig_1	803570	804193	-	624	25243	22363	29457	8373	20013	16824
sosA	MRSA_MW2_contig_1	804333	804569	+	237	337	230	331	546	1268	949
ynzC	MRSA_MW2_contig_1;MRSA_MW2_contig_1	804705;2126070	804944;2126300	+;+	471	2522	2159	3053	1578	2866	2179
tkt	MRSA_MW2_contig_1	805065	807053	+	1989	88564	72694	97416	35681	74773	51308
yneF	MRSA_MW2_contig_1	807286	807573	+	288	13465	12703	15923	12755	18833	20721
ccdC	MRSA_MW2_contig_1	807752	808219	+	468	2170	2013	2500	2418	2882	3314
sbcD	MRSA_MW2_contig_1;MRSA_MW2_contig_1	808343;1404013	809464;1405209	+;-	2319	20020	16259	20607	8735	19533	15329
sbcC	MRSA_MW2_contig_1	809468	812497	+	3030	4247	3482	4440	4159	5415	5957
mscL	MRSA_MW2_contig_1	812568	812930	-	363	25133	21855	26672	16948	27884	24405
betT	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	813134;1741487;2165126	814780;1743049;2166748	+;-;-	4833	65865	54878	66753	33938	46648	57920
acnA	MRSA_MW2_contig_1	815614	818319	+	2706	79320	60063	73450	9444	36740	24983
fadM	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	818499;1879718;2082652	818966;1880209;2083062	+;+;-	1371	8921	7486	9204	4185	10372	7023
yneR	MRSA_MW2_contig_1	819173	819469	-	297	4972	4001	5209	3044	5869	4590
plsY	MRSA_MW2_contig_1	819844	820452	-	609	12240	11146	13414	8070	17157	14064
parE	MRSA_MW2_contig_1	820658	822649	+	1992	14687	11656	14683	8952	10232	12067
parC	MRSA_MW2_contig_1	822649	825051	+	2403	24136	18810	23354	18170	21576	26317
glcT	MRSA_MW2_contig_1	827261	828112	+	852	3588	3150	3785	2559	6178	4733
mprF	MRSA_MW2_contig_1	829936	832458	+	2523	22154	17775	21127	17871	28666	26662
msrA1	MRSA_MW2_contig_1	832661	833170	-	510	3371	3072	3725	2257	5773	3947
msrR	MRSA_MW2_contig_1	833307	834290	+	984	10989	9931	13309	7524	11963	14512
pptA	MRSA_MW2_contig_1	834378	834566	-	189	5399	4915	6502	5533	11819	7899
dinP	MRSA_MW2_contig_1	834711	835973	+	1263	874	643	756	1001	1587	1165
tyrA	MRSA_MW2_contig_1	836109	837200	-	1092	3908	3365	3976	2440	4326	3969
frvX	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	837365;1298646;1998858	838396;1299722;1999934	+;-;-	3186	19385	15068	19856	10994	22112	17178
trpE	MRSA_MW2_contig_1	838888	840294	+	1407	3574	2833	3754	618	1391	1224
trpD	MRSA_MW2_contig_1	840863	841861	+	999	1738	1290	1808	204	555	363
trpC	MRSA_MW2_contig_1	841863	842645	+	783	902	651	836	34	168	65
trpF	MRSA_MW2_contig_1	842642	843277	+	636	471	323	475	45	92	41
trpB	MRSA_MW2_contig_1	843270	844484	+	1215	1028	768	1030	151	271	194
trpA	MRSA_MW2_contig_1	844477	845205	+	729	928	837	1013	356	556	496
femA	MRSA_MW2_contig_1	845527	846789	+	1263	25582	24434	31486	15059	25944	23553
femB	MRSA_MW2_contig_1	846808	848067	+	1260	22735	20640	27335	14295	22284	22849
DBIAII_00816	MRSA_MW2_contig_1	848356	849012	+	657	396	328	395	311	685	605
DBIAII_00817	MRSA_MW2_contig_1	849424	850050	+	627	4231	3488	4198	2710	4749	5821
DBIAII_00818	MRSA_MW2_contig_1	850099	850572	-	474	417	347	389	612	697	546
nikE	MRSA_MW2_contig_1	850696	851397	-	702	1600	1128	1286	757	1218	1404
nikD	MRSA_MW2_contig_1;MRSA_MW2_contig_1	851390;2496170	852166;2497762	-;-	2370	1755	1322	1660	980	1064	1462
nikC	MRSA_MW2_contig_1	852150	852980	-	831	494	333	413	211	198	338
nikB	MRSA_MW2_contig_1	852973	853959	-	987	652	389	591	319	260	397
DBIAII_00823	MRSA_MW2_contig_1	854263	854607	-	345	1585	1312	1632	1326	2894	2184
phoU	MRSA_MW2_contig_1	856765	857406	-	642	338	269	315	375	570	479
pstB	MRSA_MW2_contig_1	857413	858264	-	852	133	94	168	260	314	206
pstA	MRSA_MW2_contig_1	858311	859228	-	918	70	83	109	195	264	126
pstC	MRSA_MW2_contig_1	859230	860156	-	927	87	65	84	289	360	187
pstS	MRSA_MW2_contig_1	860347	861330	-	984	67	50	76	383	482	230
cvfB	MRSA_MW2_contig_1	862306	863208	-	903	31469	28893	35777	11251	27130	22646
uup	MRSA_MW2_contig_1	863355	864956	+	1602	37012	31552	38159	24352	36702	43791
asd	MRSA_MW2_contig_1	867092	868081	+	990	5613	4440	5921	160	872	145
dapA	MRSA_MW2_contig_1	868083	868970	+	888	2965	2147	2848	217	595	129
dapB	MRSA_MW2_contig_1	868967	869689	+	723	1459	1181	1662	162	375	157
dapD	MRSA_MW2_contig_1	869716	870435	+	720	1436	992	1650	289	660	252
alr2	MRSA_MW2_contig_1	871734	872819	+	1086	1241	1126	1666	437	777	633
lysA	MRSA_MW2_contig_1	872809	874074	+	1266	3552	3066	4257	2794	5939	4595
msaC	MRSA_MW2_contig_1	874314	874715	-	402	113	112	118	462	901	784
cspA	MRSA_MW2_contig_1	874912	875112	-	201	105099	102712	136519	75195	159465	92518
msaA	MRSA_MW2_contig_1	875283	875591	-	309	1678	1452	1875	1147	3734	1943
acyP	MRSA_MW2_contig_1	875754	876023	+	270	3272	2540	3139	1541	4023	2622
xpaC	MRSA_MW2_contig_1	876048	876671	+	624	5382	4246	5876	2871	7141	4935
yaaN	MRSA_MW2_contig_1	876703	877839	+	1137	9592	7855	10223	5732	13516	9750
DBIAII_00846	MRSA_MW2_contig_1	878107	878499	-	393	111	100	98	88	37	115
brnQ	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	878852;2473829;2613276	880195;2475184;2614583	-;-;-	4008	52231	45738	55691	15686	24025	25540
norD	MRSA_MW2_contig_1	880420	882306	-	1887	6202	5015	6298	4556	4449	6359
moxR	MRSA_MW2_contig_1	882320	883111	-	792	2615	2075	2889	2127	2101	2484
DBIAII_00851	MRSA_MW2_contig_1	883292	883495	-	204	2940	2635	3213	1863	4114	2623
DBIAII_00852	MRSA_MW2_contig_1	883524	884333	-	810	13196	10591	14210	6614	14702	10183
sucB	MRSA_MW2_contig_1	884913	886181	-	1269	11909	9372	12937	4376	5719	5247
odhA	MRSA_MW2_contig_1	886195	888993	-	2799	18536	13713	19417	7020	10493	8209
arlS	MRSA_MW2_contig_1	889277	890632	-	1356	7466	5415	6668	3088	6742	6877
arlR	MRSA_MW2_contig_1	890629	891288	-	660	3391	2460	2881	1354	3344	2621
pgpB	MRSA_MW2_contig_1;MRSA_MW2_contig_1	892075;2746421	892689;2747095	-;+	1290	11416	9382	13181	4073	7374	5092
murG	MRSA_MW2_contig_1	892706	893776	-	1071	14160	11959	15397	3331	5793	4251
DBIAII_00863	MRSA_MW2_contig_1	894998	895384	+	387	525	384	534	385	417	627
ctpA	MRSA_MW2_contig_1	895485	896975	-	1491	12954	10570	13582	7154	13918	13102
crr	MRSA_MW2_contig_1	897388	897888	-	501	13154	11446	14205	6248	14091	10955
msrB	MRSA_MW2_contig_1	897900	898328	-	429	9343	7700	9260	4126	8482	7474
msrA2	MRSA_MW2_contig_1	898321	898854	-	534	18650	15114	19600	7976	17100	14930
fakB2	MRSA_MW2_contig_1	898940	899779	-	840	14975	11748	15304	5826	11206	9911
dfrB_H150R	MRSA_MW2_contig_1	899794	900273	-	480	10122	8404	9969	4075	7141	7001
thyA	MRSA_MW2_contig_1	900473	901429	-	957	14012	11045	14072	4401	6444	8045
DBIAII_00872	MRSA_MW2_contig_1	901853	902290	-	438	6487	5475	6965	4969	8250	7893
cvfC	MRSA_MW2_contig_1	902306	903430	-	1125	15421	13198	16124	9218	14614	17646
DBIAII_00874	MRSA_MW2_contig_1	903468	903719	-	252	3909	3193	4233	2656	4049	4710
yhhQ	MRSA_MW2_contig_1	904170	904874	+	705	1375	1156	1449	3965	2117	4621
rnhA	MRSA_MW2_contig_1	905414	905815	+	402	915	811	1054	779	1514	1311
ebh	MRSA_MW2_contig_1	905874	935588	-	29715	7403	5318	6816	596725	840369	854798
norB	MRSA_MW2_contig_1	935986	937377	-	1392	1465	1940	2865	671	1743	1334
tdcB	MRSA_MW2_contig_1	938887	939927	-	1041	2115	2971	3734	346	2586	957
ald	MRSA_MW2_contig_1;MRSA_MW2_contig_1	940022;1253370	941140;1254488	-;-	2238	10698	9926	12541	3872	7493	6260
exoIX	MRSA_MW2_contig_1	941616	942494	-	879	7766	6406	8699	4023	7153	6673
era	MRSA_MW2_contig_1;MRSA_MW2_contig_1	942514;1112618	945954;1113517	-;-	4341	36861	30206	39285	13437	25735	22743
