# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-T" "8" "-t" "CDS" "-g" "gene_name" "-a" "ref/LacFitz_annotation/LacFitz_assembly.gtf" "-o" "LacFitz_transcripts.txt" "mapping/L-A_S491_L006_vs_LacFitz.sorted.bam" "mapping/L-B_S492_L006_vs_LacFitz.sorted.bam" "mapping/L-C_S493_L006_vs_LacFitz.sorted.bam" "mapping/LplusA_S498_L006_vs_LacFitz.sorted.bam" "mapping/LplusB_S499_L006_vs_LacFitz.sorted.bam" "mapping/LplusC_S500_L006_vs_LacFitz.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapping/L-A_S491_L006_vs_LacFitz.sorted.bam	mapping/L-B_S492_L006_vs_LacFitz.sorted.bam	mapping/L-C_S493_L006_vs_LacFitz.sorted.bam	mapping/LplusA_S498_L006_vs_LacFitz.sorted.bam	mapping/LplusB_S499_L006_vs_LacFitz.sorted.bam	mapping/LplusC_S500_L006_vs_LacFitz.sorted.bam
potC	MRSA_LacFitz_contig_1	554047	554856	+	810	969	1027	1089	1321	1205	1169
potD	MRSA_LacFitz_contig_1	554856	555929	+	1074	2442	2545	2729	2933	2624	2681
PBCCJM_00551	MRSA_LacFitz_contig_1	556003	557022	+	1020	31824	30152	39248	13541	14655	16274
PBCCJM_00552	MRSA_LacFitz_contig_1	557305	557724	+	420	4904	4719	5990	3487	3361	4405
mntH	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	557806;1155085	559158;1156314	-;-	2583	6425	4740	8084	19897	16952	28958
yktB	MRSA_LacFitz_contig_1	559342	559956	-	615	7849	8195	9996	9601	8899	9542
suhB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	560113;1873431	560940;1874228	+;-	1626	12094	12238	16707	9175	9353	9561
ylaF	MRSA_LacFitz_contig_1	561094	561285	-	192	3236	3085	3599	3535	3319	3733
typA	MRSA_LacFitz_contig_1	561387	563234	+	1848	53504	55600	59599	46411	41305	39889
PBCCJM_00558	MRSA_LacFitz_contig_1	563543	564025	-	483	7856	7311	10016	6582	6515	7497
ylaN	MRSA_LacFitz_contig_1	564166	564441	+	276	10409	9616	11824	9723	9211	9794
ftsW	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	564755;1650089	565981;1651291	+;+	2430	33611	34625	45428	21101	23294	24909
pycA	MRSA_LacFitz_contig_1	566535	569987	+	3453	42529	34669	52778	22129	27040	26668
ctaA	MRSA_LacFitz_contig_1	570127	571197	-	1071	20654	21691	24637	17103	15059	15571
cyoE	MRSA_LacFitz_contig_1	571478	572389	+	912	37146	41475	47011	39169	36506	31577
yozB	MRSA_LacFitz_contig_1	572414	572875	+	462	8478	9954	10229	9633	9374	7447
ykwD	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	573202;811386	574239;812249	+;+	1902	12561	13419	15107	10182	11247	9926
ylbF	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	574255;1422873	574689;1423217	+;-	780	66287	63454	75169	47549	49644	49947
ylbG	MRSA_LacFitz_contig_1	575917	576171	+	255	2210	2439	2922	1845	1926	1755
PBCCJM_00569	MRSA_LacFitz_contig_1	576174	576563	-	390	3667	4178	5129	3713	3347	3344
rsmD	MRSA_LacFitz_contig_1	576633	577175	+	543	4125	4313	5045	3719	3714	3731
coaD	MRSA_LacFitz_contig_1	577177	577659	+	483	1814	1860	2061	1749	1612	1702
tmcAL	MRSA_LacFitz_contig_1	577721	578860	-	1140	5471	5856	6956	3665	3981	4391
yceD	MRSA_LacFitz_contig_1	578987	579544	+	558	82841	84945	88350	67755	68454	70927
rpmF	MRSA_LacFitz_contig_1	579624	579797	+	174	22047	21967	22593	18316	16764	19052
isdB	MRSA_LacFitz_contig_1	579951	581888	-	1938	475	411	618	788	754	1099
isdA	MRSA_LacFitz_contig_1	582091	583143	-	1053	5056	4801	6667	6789	4763	7593
isdC	MRSA_LacFitz_contig_1	583352	584035	+	684	114	166	168	278	187	332
isdD	MRSA_LacFitz_contig_1	584035	585111	+	1077	134	135	186	197	185	309
isdE	MRSA_LacFitz_contig_1	585108	585986	+	879	128	161	188	245	144	314
isdF	MRSA_LacFitz_contig_1	585996	586964	+	969	245	261	342	345	240	494
srtB	MRSA_LacFitz_contig_1	587026	587760	+	735	210	167	241	225	171	259
isdG	MRSA_LacFitz_contig_1	587779	588102	+	324	125	196	222	199	118	231
spoU	MRSA_LacFitz_contig_1	588486	589226	+	741	6543	5872	7374	4557	3969	4749
pheS	MRSA_LacFitz_contig_1	589607	590665	+	1059	12202	12263	14765	12701	10995	11136
pheT	MRSA_LacFitz_contig_1	590665	593067	+	2403	36930	35396	44024	35592	30724	31214
rnhC	MRSA_LacFitz_contig_1	593238	594176	-	939	3147	3071	3916	2063	2312	2388
zapA	MRSA_LacFitz_contig_1	594546	594812	+	267	1773	1718	2062	1845	1534	1544
cvpA	MRSA_LacFitz_contig_1	594813	595334	+	522	2098	2352	2643	2264	2046	2199
polX	MRSA_LacFitz_contig_1	595407	597119	+	1713	6701	7004	8383	5949	5667	5540
mutS2	MRSA_LacFitz_contig_1	597129	599477	+	2349	12783	13203	16040	11522	10135	10125
uvrC	MRSA_LacFitz_contig_1	600288	602069	+	1782	3800	3733	4400	3357	2811	3377
sdhC	MRSA_LacFitz_contig_1	602393	603007	+	615	5529	4115	5876	6869	4304	4819
sdhA	MRSA_LacFitz_contig_1	603059	604825	+	1767	26127	17664	28724	29023	20820	23247
sdhB	MRSA_LacFitz_contig_1	604825	605640	+	816	19004	12888	21420	20007	15721	16256
racE	MRSA_LacFitz_contig_1	605876	606676	+	801	6227	6514	8288	3960	4014	3866
rdgB	MRSA_LacFitz_contig_1	606688	607275	+	588	3674	3890	4618	2235	2296	2212
yfcE	MRSA_LacFitz_contig_1	607268	607771	+	504	3301	3432	3926	1989	2135	2044
ecb	MRSA_LacFitz_contig_1	608260	608589	+	330	11561	18919	16713	12180	16453	23519
flr	MRSA_LacFitz_contig_1	608958	609359	-	402	1205	1719	1904	2831	2592	3211
PBCCJM_00601	MRSA_LacFitz_contig_1	610031	610537	+	507	1325	1249	1327	1918	1848	2044
efb	MRSA_LacFitz_contig_1	610796	611293	+	498	4933	7239	7422	457	625	1445
scb	MRSA_LacFitz_contig_1	611447	611797	+	351	3071	4822	5099	304	405	906
PBCCJM_00605	MRSA_LacFitz_contig_1	612450	612635	-	186	2329	2030	2946	314	560	1425
PBCCJM_00606	MRSA_LacFitz_contig_1	613257	613490	-	234	4213	4080	4519	638	916	2448
hyl	MRSA_LacFitz_contig_1	613967	614926	-	960	5595	3800	6337	4603	2710	7373
PBCCJM_00608	MRSA_LacFitz_contig_1	615599	615745	+	147	17	27	16	166	197	263
PBCCJM_00609	MRSA_LacFitz_contig_1	615729	615926	+	198	42	65	67	349	389	414
PBCCJM_00611	MRSA_LacFitz_contig_1	616371	617087	-	717	174	209	233	273	293	325
ssl13	MRSA_LacFitz_contig_1	617195	617920	-	726	135	153	189	181	126	126
PBCCJM_00613	MRSA_LacFitz_contig_1	618015	618740	-	726	162	81	194	151	110	167
argF	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	619178;2224471;2386353	620179;2225481;2387351	+;-;-	3012	3469	2182	3909	3438	2051	3258
arcC	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	620199;2221992;2385404	621134;2222933;2386333	+;-;-	2808	8917	7440	12329	2487	3103	3798
yfcC	MRSA_LacFitz_contig_1	621306	622862	+	1557	967	812	1194	375	359	450
PBCCJM_00617	MRSA_LacFitz_contig_1	623170	623397	+	228	1077	1379	1540	1148	1230	2700
tehA	MRSA_LacFitz_contig_1	623702	624649	-	948	13773	14928	19463	9450	9305	9885
PBCCJM_00619	MRSA_LacFitz_contig_1	624898	625086	+	189	448	439	502	344	461	929
PBCCJM_00621	MRSA_LacFitz_contig_1	625998	626132	+	135	7447	2618	9371	8	1075	2567
PBCCJM_00622	MRSA_LacFitz_contig_1	626189	626323	+	135	312	86	250	1	42	116
PBCCJM_00624	MRSA_LacFitz_contig_1	627251	627691	-	441	3523	3065	4025	1207	1459	1980
bshC	MRSA_LacFitz_contig_1	627886	629499	+	1614	9548	10282	12274	6870	5630	5683
mraZ	MRSA_LacFitz_contig_1	629643	630074	+	432	25604	22226	27828	19063	17339	20037
rsmH	MRSA_LacFitz_contig_1	630090	631025	+	936	46409	42501	52155	35032	30974	36458
ftsL	MRSA_LacFitz_contig_1	631039	631440	+	402	9249	8689	10722	7559	6943	8453
pASTA	MRSA_LacFitz_contig_1	631421	633655	+	2235	34680	32215	38555	28218	27551	30351
mraY	MRSA_LacFitz_contig_1	633947	634912	+	966	8235	8155	10233	6550	6100	6365
murD	MRSA_LacFitz_contig_1	634914	636263	+	1350	11704	11673	15301	8937	8302	8352
divIB	MRSA_LacFitz_contig_1	636279	637598	+	1320	19812	18149	24659	14153	13299	13638
ftsA	MRSA_LacFitz_contig_1	637704	639116	+	1413	75725	74775	94507	62626	61073	60135
ftsZ	MRSA_LacFitz_contig_1	639149	640321	+	1173	95662	88400	109317	78016	73283	76590
pgeF	MRSA_LacFitz_contig_1	640581	641372	+	792	2756	2736	3577	3297	2957	3680
yggS	MRSA_LacFitz_contig_1	641396	642064	+	669	26028	24563	33504	18785	17884	18021
sepF	MRSA_LacFitz_contig_1	642061	642624	+	564	33272	31218	44212	22857	22692	22529
yggT	MRSA_LacFitz_contig_1	642636	642926	+	291	10679	10675	13265	7809	7708	7721
ylmH	MRSA_LacFitz_contig_1	643009	643815	+	807	11111	12379	16435	7232	8031	7596
divIVA	MRSA_LacFitz_contig_1	643839	644456	+	618	24761	25484	32830	14885	14950	15229
ileS	MRSA_LacFitz_contig_1	644677	647430	+	2754	46773	45523	56932	39823	36620	34601
catE	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	647720;2101353	648517;2102159	+;+	1605	3339	3512	4345	3104	2671	2864
PBCCJM_00643	MRSA_LacFitz_contig_1	648578	648772	-	195	71	56	64	67	50	66
lspA	MRSA_LacFitz_contig_1	649341	649832	+	492	4743	5762	6268	4089	4015	3181
pyrR	MRSA_LacFitz_contig_1	651148	651675	+	528	18429	22062	24038	8801	10720	6992
uraA	MRSA_LacFitz_contig_1	651893	653200	+	1308	16272	20173	19953	2020	4219	1801
pyrB	MRSA_LacFitz_contig_1	653228	654109	+	882	11346	14844	14389	1014	1265	789
pyrC	MRSA_LacFitz_contig_1	654124	655401	+	1278	17916	24226	22706	1822	1522	1923
carA	MRSA_LacFitz_contig_1	655403	656503	+	1101	9635	13127	10998	1439	1310	2032
carB	MRSA_LacFitz_contig_1	656496	659669	+	3174	15947	18038	14908	7085	6461	11616
pyrF	MRSA_LacFitz_contig_1	659779	660471	+	693	2699	1808	2384	2130	2062	3727
pyrE	MRSA_LacFitz_contig_1	660471	661082	+	612	1453	895	1214	1242	1300	1980
PBCCJM_00655	MRSA_LacFitz_contig_1	661112	661324	+	213	971	736	948	797	845	906
PBCCJM_00656	MRSA_LacFitz_contig_1	661761	662162	+	402	3088	3110	3519	1392	1407	2034
rqcH	MRSA_LacFitz_contig_1	662425	664122	-	1698	14863	15198	20660	9657	9812	9841
gmk	MRSA_LacFitz_contig_1	664397	665020	+	624	26748	24821	31019	19562	18812	18610
rpoZ	MRSA_LacFitz_contig_1	665020	665238	+	219	2443	2195	2565	1903	1765	1743
coaBC	MRSA_LacFitz_contig_1	665454	666653	+	1200	4561	4533	5848	4066	3429	3847
priA	MRSA_LacFitz_contig_1	666653	669061	+	2409	12570	12163	16545	11139	10354	10287
PBCCJM_00662	MRSA_LacFitz_contig_1	669567	670520	+	954	2349	2405	2830	374	411	496
fmt	MRSA_LacFitz_contig_1	671666	672601	+	936	7948	8313	10379	6338	6273	5128
rsmB	MRSA_LacFitz_contig_1	672598	673905	+	1308	15653	16513	19885	11763	11235	8393
rlmN	MRSA_LacFitz_contig_1	673908	675002	+	1095	14536	14376	16827	10854	8983	7787
pTC1	MRSA_LacFitz_contig_1	675009	675752	+	744	10223	10546	12854	7778	6446	5992
pknB	MRSA_LacFitz_contig_1	675749	677743	+	1995	23333	22782	26024	20454	17534	16883
rsgA	MRSA_LacFitz_contig_1	677971	678846	+	876	6113	6700	8146	5622	5113	4863
rpe	MRSA_LacFitz_contig_1	678847	679491	+	645	5729	5845	7802	4871	4397	4125
thiN	MRSA_LacFitz_contig_1	679498	680139	+	642	5687	5840	7491	5021	4401	4542
rpmB	MRSA_LacFitz_contig_1	680520	680708	-	189	103201	80531	97899	79022	76102	86949
yloU	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	681151;1085991	681525;1086353	+;-	738	14671	15153	18410	10654	10490	10396
fakA	MRSA_LacFitz_contig_1	681540	683186	+	1647	36477	37334	42128	21000	22420	23392
recG	MRSA_LacFitz_contig_1	683376	685436	+	2061	6213	6199	8099	4530	4282	4859
fapR	MRSA_LacFitz_contig_1	685639	686211	+	573	17771	20198	22181	14715	13636	13620
plsX	MRSA_LacFitz_contig_1	686216	687202	+	987	24725	27405	28036	19623	16702	17384
fabD	MRSA_LacFitz_contig_1	687195	688121	+	927	30047	33800	36463	24376	20543	22328
fabG	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	688114;749591;2162711;1889780;2045735;2046467	688848;750295;2163415;1890661;2046454;2046553	+;+;+;-;-;-	3834	40513	41354	48427	30575	26866	29906
acpP	MRSA_LacFitz_contig_1	689091	689324	+	234	47823	41862	47984	35581	32379	36117
rnc	MRSA_LacFitz_contig_1	689440	690171	+	732	4515	4603	5679	4127	3591	3454
smc	MRSA_LacFitz_contig_1	690318	693884	+	3567	23497	23388	30316	22911	20274	19646
ftsY	MRSA_LacFitz_contig_1	693884	695134	+	1251	7308	7067	8742	7375	7093	6960
ylxM	MRSA_LacFitz_contig_1	695121	695453	+	333	2032	2218	2607	1987	1880	1851
ffh	MRSA_LacFitz_contig_1	695479	696846	+	1368	23340	23816	28945	19447	18782	19579
rpsP	MRSA_LacFitz_contig_1	697281	697556	+	276	22252	18222	19826	24700	23577	25051
rimM	MRSA_LacFitz_contig_1	697744	698247	+	504	2757	2871	2777	2202	2329	2655
trmD	MRSA_LacFitz_contig_1	698247	698984	+	738	7067	7003	7758	5146	5177	6723
rplS	MRSA_LacFitz_contig_1	699087	699437	+	351	131083	120709	145396	101485	93244	107096
yfhO	MRSA_LacFitz_contig_1	699681	702287	-	2607	4980	4686	6895	2833	2842	3892
ylqF	MRSA_LacFitz_contig_1	702688	703572	+	885	4316	4338	5182	3008	3027	3067
rnhB	MRSA_LacFitz_contig_1	703556	704323	+	768	4379	4506	5339	2591	2725	2638
sucC	MRSA_LacFitz_contig_1	704432	705598	+	1167	34301	26806	39531	30951	22569	30858
sucD	MRSA_LacFitz_contig_1	705620	706528	+	909	23737	18155	25977	20057	15419	20412
lytN	MRSA_LacFitz_contig_1	706755	707873	+	1119	245	243	339	24266	33389	57112
fmhC	MRSA_LacFitz_contig_1	707901	709145	+	1245	596	632	746	19320	27242	44342
dprA	MRSA_LacFitz_contig_1	709318	710190	+	873	368	324	491	1427	1975	3476
topA	MRSA_LacFitz_contig_1	710364	712439	+	2076	35961	37577	46292	15582	17241	13925
trmFO	MRSA_LacFitz_contig_1	712595	713902	+	1308	26138	25730	30896	12414	11255	9664
xerC	MRSA_LacFitz_contig_1	714319	715215	+	897	13194	11542	17950	5247	4985	4646
hslV	MRSA_LacFitz_contig_1	715212	715757	+	546	8398	7483	11195	3601	3528	3061
hslU	MRSA_LacFitz_contig_1	715823	717226	+	1404	33538	30048	45577	15595	14847	13008
codY	MRSA_LacFitz_contig_1	717251	718024	+	774	14719	13710	18801	7417	7056	6686
rpsB	MRSA_LacFitz_contig_1	718366	719133	+	768	218106	219406	259202	182641	180115	152344
tsf	MRSA_LacFitz_contig_1	719315	720196	+	882	102766	93254	107022	96892	89280	77050
pyrH	MRSA_LacFitz_contig_1	720333	721055	+	723	27832	28568	32271	23824	20871	19349
frr	MRSA_LacFitz_contig_1	721074	721628	+	555	42290	41513	50502	34200	29933	28731
uppS	MRSA_LacFitz_contig_1	722001	722771	+	771	14970	15540	17122	15175	13043	12460
cdsA	MRSA_LacFitz_contig_1	722778	723560	+	783	13941	14543	16021	14377	12656	12083
rseP	MRSA_LacFitz_contig_1	723822	725108	+	1287	18891	19434	24303	17115	15844	16287
proS	MRSA_LacFitz_contig_1	725128	726831	+	1704	29927	28510	33917	27770	24613	27150
polC	MRSA_LacFitz_contig_1	727089	731405	+	4317	29698	29208	38170	23662	23123	19801
rimP	MRSA_LacFitz_contig_1	731695	732162	+	468	4325	4706	4709	3804	3760	3170
nusA	MRSA_LacFitz_contig_1	732183	733358	+	1176	13146	12827	14526	11094	10509	9726
ylxR	MRSA_LacFitz_contig_1	733379	733663	+	285	1580	1435	1483	1291	1200	1149
ylxQ	MRSA_LacFitz_contig_1	733660	733977	+	318	1173	1122	1286	986	874	938
infB	MRSA_LacFitz_contig_1	733982	736099	+	2118	48627	44461	54257	42791	36112	43043
rbfA	MRSA_LacFitz_contig_1	736485	736835	+	351	8695	8808	10201	7277	6868	7336
truB	MRSA_LacFitz_contig_1	737004	737921	+	918	5859	6489	8513	4513	4443	4676
ribF	MRSA_LacFitz_contig_1	737936	738907	+	972	11919	12036	15728	8284	8298	8540
rpsO	MRSA_LacFitz_contig_1	739022	739291	+	270	53545	49681	51835	39429	40166	41207
pnp	MRSA_LacFitz_contig_1	739661	741757	+	2097	72998	74831	89097	56764	51212	47241
rnj2	MRSA_LacFitz_contig_1	741993	743666	+	1674	55061	52127	67197	43722	39011	41028
mngR	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	746296;2473422;2627292	747009;2474162;2627996	+;-;-	2160	12154	11678	15251	9813	8856	9387
pqqL	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	747040;748305	748305;749591	+;+	2552	18819	21211	24065	14220	12948	10244
PBCCJM_00730	MRSA_LacFitz_contig_1	750400	751227	+	828	7354	7210	8229	6272	5183	5262
rodZ	MRSA_LacFitz_contig_1	751246	751638	+	393	6300	6402	7946	5168	4439	4543
pgsA_S177F	MRSA_LacFitz_contig_1	751672	752250	+	579	6415	6514	7230	5915	5474	5390
cinA	MRSA_LacFitz_contig_1	752477	753628	+	1152	3957	4038	5095	3027	3627	3763
recA	MRSA_LacFitz_contig_1	753793	754836	+	1044	25157	23696	32122	19345	20080	21312
rny	MRSA_LacFitz_contig_1	755190	756749	+	1560	91129	83170	107259	68868	64275	66055
PBCCJM_00737	MRSA_LacFitz_contig_1	757046	757261	-	216	2624	2174	2971	708	744	1066
ymdB	MRSA_LacFitz_contig_1	757435	758232	+	798	12877	12104	14992	8574	8907	9256
porG	MRSA_LacFitz_contig_1	758372	760132	+	1761	7945	8623	10165	7396	7164	6935
porB	MRSA_LacFitz_contig_1	760133	760999	+	867	4516	4646	5437	4105	3914	4347
yqgV	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	761093;1102002	761386;1102331	+;-	624	5350	5370	7256	4587	4258	4470
miaB	MRSA_LacFitz_contig_1	761520	763064	+	1545	13163	12618	14840	11906	11436	10376
ymcA	MRSA_LacFitz_contig_1	763065	763430	+	366	5160	5317	6788	4697	4270	4173
thiW	MRSA_LacFitz_contig_1	763457	763948	+	492	5126	5734	6621	4698	4358	4243
mutS	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	764251;1604381	766869;1605991	+;+	4230	18362	18469	24492	11646	12430	10840
mutL	MRSA_LacFitz_contig_1	766882	768891	+	2010	14454	14530	17987	10929	9607	9154
glpP	MRSA_LacFitz_contig_1	768906	769439	+	534	4031	4153	4928	3657	3302	3634
glpF	MRSA_LacFitz_contig_1	769904	770722	+	819	6333	3074	5746	2804	2338	4410
glpK	MRSA_LacFitz_contig_1	770851	772347	+	1497	6907	4514	7566	3929	4121	5658
glpD	MRSA_LacFitz_contig_1	772505	774178	+	1674	51440	21228	62938	8708	19215	23654
pldB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	774325;1337137	775242;1337964	+;-	1746	10330	10438	12769	11896	11503	14049
miaA	MRSA_LacFitz_contig_1	775260	776195	+	936	2422	2479	3437	9173	10779	13648
hfq	MRSA_LacFitz_contig_1	776210	776443	+	234	760	709	880	3861	4786	5305
bsaA	MRSA_LacFitz_contig_1	776665	777141	-	477	5330	5297	6543	5308	4783	5584
hflX	MRSA_LacFitz_contig_1	777253	778491	+	1239	3470	3591	4032	2929	3014	2634
ynbB	MRSA_LacFitz_contig_1	778510	779748	+	1239	6409	6458	7083	4996	4832	3839
soxR	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	779991;1954603;2083956	780359;1955343;2084720	+;+;-	1875	30564	25438	33286	18106	15498	25905
glnA	MRSA_LacFitz_contig_1	780378	781718	+	1341	134704	90662	121643	76088	68576	100744
unitary	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_2	782993;2159576;2777975;1594356;2289	783082;2159896;2778319;1594562;2474	+;+;+;-;-	1149	4785	9011	6720	3658	4187	3932
PBCCJM_00760	MRSA_LacFitz_contig_1	783109	783321	+	213	28	29	69	753	747	520
PBCCJM_00761	MRSA_LacFitz_contig_1	783615	783821	+	207	467	406	494	1594	1561	1188
PBCCJM_00762	MRSA_LacFitz_contig_1	785060	785245	+	186	507	496	719	1590	1479	1137
PBCCJM_00763	MRSA_LacFitz_contig_1	785757	785861	+	105	103	92	77	187	229	94
PBCCJM_00764	MRSA_LacFitz_contig_1	785990	786241	+	252	96	100	107	220	121	118
PBCCJM_00765	MRSA_LacFitz_contig_1	786287	786871	+	585	186	134	235	176	185	136
PBCCJM_00766	MRSA_LacFitz_contig_1	786992	787240	+	249	230	248	295	187	224	209
PBCCJM_00767	MRSA_LacFitz_contig_1	787370	787471	+	102	2	6	6	1	4	2
PBCCJM_00768	MRSA_LacFitz_contig_1	787517	787783	+	267	6	1	1	1	4	2
PBCCJM_00769	MRSA_LacFitz_contig_1	787792	787917	+	126	478	446	466	472	325	342
PBCCJM_00770	MRSA_LacFitz_contig_1	788346	788636	+	291	1072	1216	1492	2824	2327	2351
PBCCJM_00771	MRSA_LacFitz_contig_1	788647	788841	+	195	400	341	411	835	724	737
PBCCJM_00772	MRSA_LacFitz_contig_1	788882	789232	+	351	449	421	584	1043	956	1012
PBCCJM_00773	MRSA_LacFitz_contig_1	789239	789430	+	192	195	195	249	512	386	500
gLY1	MRSA_LacFitz_contig_1	789979	791004	-	1026	357	246	468	10055	10560	12704
PBCCJM_00775	MRSA_LacFitz_contig_1	791274	791471	+	198	611	886	937	573	586	695
cls	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	791529;1652500	793010;1653984	+;+	2967	19207	19475	26217	13953	15286	16429
yadH	MRSA_LacFitz_contig_1	794062	794793	+	732	205	201	315	135	121	197
comP	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	794797;1426054	795888;1427166	+;-	2205	4146	4120	5513	2679	2815	3302
citB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	795885;1425409	796487;1426032	+;-	1227	3991	3866	5414	2598	2837	3090
lapA	MRSA_LacFitz_contig_1	796600	796788	-	189	1481	1810	1747	1236	1180	1168
yncB	MRSA_LacFitz_contig_1	796927	797460	+	534	1764	1891	1904	1104	1307	1022
PBCCJM_00783	MRSA_LacFitz_contig_1	797603	798457	-	855	12164	13521	17659	10543	9862	10210
PBCCJM_00784	MRSA_LacFitz_contig_1	798779	799363	+	585	2690	2302	2651	3175	1853	2781
metL1	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	799417;874404	800799;875609	-;+	2589	13880	6551	18334	1855	1448	1661
thrA	MRSA_LacFitz_contig_1	800990	802270	+	1281	3338	1858	3663	2026	1765	2330
thrC	MRSA_LacFitz_contig_1	802276	803337	+	1062	1920	1116	2157	1505	1335	1671
thrB	MRSA_LacFitz_contig_1	803339	804253	+	915	1444	905	1962	1241	1114	1493
PBCCJM_00790	MRSA_LacFitz_contig_1	805407	805721	-	315	6033	6063	7424	5161	4978	6102
lysP	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	805939;1224877	807393;1226370	-;-	2949	47485	44608	63225	34257	33035	27981
katB	MRSA_LacFitz_contig_1	807597	809114	+	1518	22073	17352	24647	18818	16518	15438
rpmG	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	809205;1105721	809354;1105870	+;-	300	26292	25599	25447	22352	19987	22166
rpsN	MRSA_LacFitz_contig_1	809808	810077	+	270	3269	3147	3681	3663	3108	3135
PBCCJM_00795	MRSA_LacFitz_contig_1	810234	811211	+	978	2984	3162	3382	2193	3432	3244
lexA	MRSA_LacFitz_contig_1	812629	813252	-	624	23422	22645	31535	12993	13360	15552
sosA	MRSA_LacFitz_contig_1	813392	813628	+	237	392	354	532	382	487	1061
ynzC	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	813764;2160116	814003;2160346	+;+	471	3113	2736	3416	2128	1954	1781
tkt	MRSA_LacFitz_contig_1	814124	816112	+	1989	94161	90813	121906	85384	64944	67904
yneF	MRSA_LacFitz_contig_1	816345	816632	+	288	12779	11744	11962	11698	10346	10549
ccdC	MRSA_LacFitz_contig_1	816811	817278	+	468	2247	2568	2726	1746	1887	1718
sbcD	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	817402;1420905	818523;1422101	+;-	2319	18454	17412	23487	15905	14809	15870
sbcC	MRSA_LacFitz_contig_1	818527	821556	+	3030	4272	4391	5063	3897	4158	4046
mscL	MRSA_LacFitz_contig_1	821627	821989	-	363	21913	19961	23726	2827	2545	7994
betT	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	822193;1764650;2198511	823839;1766212;2200133	+;-;-	4833	56077	56417	64327	7457	8534	17827
acnA	MRSA_LacFitz_contig_1	824731	827436	+	2706	50628	44321	59589	59968	52682	50457
fadM	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	827616;1910528;2115286	828083;1911019;2115696	+;+;-	1371	8707	9075	11432	7127	6733	6869
yneR	MRSA_LacFitz_contig_1	828290	828586	-	297	4396	3876	5594	2636	2439	3239
plsY	MRSA_LacFitz_contig_1	828962	829570	-	609	10414	10104	10745	9583	8804	8727
parE	MRSA_LacFitz_contig_1	829776	831767	+	1992	14707	14514	17568	10316	10108	8418
parC	MRSA_LacFitz_contig_1	831767	834169	+	2403	24060	25577	29049	20446	18921	16605
glcT	MRSA_LacFitz_contig_1	836379	837230	+	852	3891	3738	4794	4462	4122	4742
mprF	MRSA_LacFitz_contig_1	839054	841576	+	2523	22614	23282	27996	20678	17679	18596
msrA1	MRSA_LacFitz_contig_1	841779	842288	-	510	4177	3833	5421	3448	3037	3312
msrR	MRSA_LacFitz_contig_1	842425	843408	+	984	12189	12381	13993	11557	12949	12376
pptA	MRSA_LacFitz_contig_1	843496	843684	-	189	5268	5158	5577	6602	5879	5236
dinP	MRSA_LacFitz_contig_1	843829	845091	+	1263	631	466	804	669	805	1258
tyrA	MRSA_LacFitz_contig_1	845228	846319	-	1092	3811	3332	4813	2814	2463	3474
frvX	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	846484;1309804;2029301	847515;1310880;2030377	+;-;-	3186	18591	18857	24246	16892	15776	16308
